name,number,position,status,height,weight,experience,college,team_key
Genard Avery,59,OLB,ACT,72,250,5,Memphis,17
Kenjon Barner,38,RB,CUT,69,195,8,Oregon,17
Shaquil Barrett,58,OLB,RES,74,250,9,Colorado State,17
Cole Beasley,11,WR,CUT,68,174,11,SMU,17
Giovani Bernard,25,RB,ACT,69,205,10,North Carolina,17
Tom Brady,12,QB,ACT,76,225,23,Michigan,17
Cameron Brate,84,TE,ACT,77,245,8,Harvard,17
K.J. Britt,52,LB,ACT,72,235,2,Auburn,17
Sean Murphy-Bunting,23,CB,ACT,72,195,4,Central Michigan,17
Jake Camarda,5,P,ACT,73,193,,R,17
Anthony Chesley,37,CB,DEV,72,190,2,Coastal Carolina,17
Dylan Cook,65,OT,CUT,78,305,,R,17
Jaelon Darden,1,WR,TRC,68,173,2,North Texas,17
Lavonte David,54,ILB,ACT,73,233,11,Nebraska,17
Carlton Davis,24,CB,ACT,73,206,5,Auburn,17
Khalil Davis,71,DT,CUT,73,308,3,Nebraska,17
Jamel Dean,35,CB,ACT,73,206,4,Auburn,17
Dee Delaney,30,DB,ACT,71,200,2,Miami,17
Mike Edwards,32,FS,ACT,70,205,4,Kentucky,17
Mike Evans,13,WR,ACT,77,231,9,Texas A&M,17
Olakunle Fatukasi,53,ILB,ACT,74,240,,R,17
Leonard Fournette,7,RB,ACT,72,228,6,LSU,17
Blaine Gabbert,11,QB,ACT,77,235,12,Missouri,17
Russell Gage,17,WR,ACT,72,184,5,LSU,17
Don Gardner,36,CB,DEV,73,180,,R,17
Kaylon Geiger,80,WR,DEV,70,180,,R,17
William Gholston,92,DE,ACT,78,281,10,Michigan State,17
Ulysees Gilbert,54,LB,DEV,72,230,4,Akron,17
Cam Gill,49,LB,RES,75,240,3,Wagner,17
Chris Godwin,14,WR,ACT,73,209,6,Penn State,17
Luke Goedeke,67,G,ACT,77,312,,R,17
Mike Greene,71,DL,DEV,75,293,,R,17
Ryan Griffin,4,QB,DEV,76,218,8,Tulane,17
Robert Hainsey,70,C,ACT,76,306,2,Notre Dame,17
Logan Hall,90,DE,ACT,78,283,,R,17
Grant Hermanns,,OT,DEV,79,300,1,Purdue,17
Akiem Hicks,96,DE,ACT,77,324,11,Regina,17
J.J. Howland,82,TE,CUT,78,255,,R,17
Ryan Jensen,66,C,RES,76,319,9,Colorado State (Pueblo),17
Fred Johnson,74,OT,TRD,79,326,4,Florida,17
Tyler Johnson,14,WR,DEV,73,206,3,Minnesota,17
Julio Jones,6,WR,ACT,75,220,12,Alabama,17
Ko Kieft,41,TE,ACT,77,265,,R,17
Patrick Laird,32,RB,DEV,73,197,4,California,17
Nick Leverett,60,G,ACT,76,310,2,Rice,17
Shaq Mason,69,G,ACT,73,310,8,Georgia Tech,17
Zyon McCollum,27,CB,ACT,74,199,,R,17
Scott Miller,10,WR,ACT,69,174,4,Bowling Green,17
John Molchon,75,G,ACT,77,309,3,Boise State,17
Quandre Mosely,,DB,TRC,74,185,,R,17
Carl Nassib,94,LB,ACT,79,275,7,Penn State,17
Keanu Neal,22,S,ACT,72,211,7,Florida,17
Anthony Nelson,98,OLB,ACT,79,271,4,Iowa,17
Rakeem Nunez-Roches,56,DE,ACT,74,307,8,Southern Mississippi,17
Pat O'Connor,79,DE,ACT,76,270,4,Eastern Michigan,17
Cade Otton,88,TE,ACT,77,247,,R,17
Joe Ozougwu,59,DE,CUT,74,236,,R,17
Breshad Perriman,16,WR,ACT,74,215,8,UCF,17
Willington Previlon,94,DT,DEV,77,285,1,Rutgers,17
Kyle Rudolph,8,TE,ACT,78,258,12,Notre Dame,17
J.J. Russell,51,ILB,DEV,73,225,,R,17
Logan Ryan,26,DB,ACT,71,195,10,Rutgers,17
Deadrin Senat,95,DT,ACT,73,305,4,University of South Florida,17
Justin Skule,77,OT,DEV,78,315,4,Vanderbilt,17
Donovan Smith,76,OT,ACT,78,338,8,Penn State,17
Ryan Smith,33,CB,CUT,71,189,7,North Carolina Central,17
Charles Snowden,49,LB,DEV,79,245,1,Virginia,17
Aaron Stinnie,64,G,RES,75,312,5,James Madison,17
Ryan Succop,3,K,ACT,74,218,14,South Carolina,17
Deven Thompkins,83,WR,ACT,68,155,,R,17
Kyle Trask,2,QB,ACT,77,236,2,Florida,17
Zach Triner,97,LS,ACT,75,245,4,Assumption,17
Joe Tryon-Shoyinka,9,OLB,ACT,77,259,2,Washington,17
Nolan Turner,34,DB,ACT,73,202,,R,17
Ke'Shawn Vaughn,21,RB,ACT,70,214,3,Vanderbilt,17
Vita Vea,50,NT,ACT,76,347,5,Washington,17
Brandon Walton,73,OT,ACT,77,300,1,Florida Atlantic,17
David Wells,83,TE,DEV,78,260,3,San Diego State,17
Josh Wells,72,OT,ACT,78,306,8,James Madison,17
Rachaad White,29,RB,ACT,72,214,,R,17
Devin White,45,ILB,ACT,72,237,4,LSU,17
Antoine Winfield Jr.,31,S,ACT,69,203,3,Minnesota,17
Tristan Wirfs,78,OT,ACT,77,320,3,Iowa,17
Kenny Young,53,ILB,TRT,73,234,5,UCLA,17
